,Index,Value
0,471,
1,493,
2,490,
3,472,
4,450,
5,498,
6,480,
7,448,
8,500,
9,488,
10,450,
11,486,
12,454,
13,509,
14,464,
15,486,
16,454,
17,480,
18,466,
19,480,
20,480,
21,494,
22,487,
23,487,
24,452,
25,471,
26,479,
27,460,
28,467,
29,498,
30,475,
31,488,
32,494,
33,491,
34,476,
35,464,
36,500,
37,464,
38,458,
39,495,
40,495,
41,448,
42,481,
43,479,
44,472,
45,476,
46,489,
47,475,
48,494,
49,476,
50,490,
51,456,
52,448,
53,455,
54,466,
55,486,
56,469,
57,454,
58,466,
59,450,
60,450,
61,465,
62,476,
63,496,
64,466,
65,462,
66,478,
67,454,
68,465,
69,474,
70,466,
71,496,
72,465,
73,465,
74,458,
75,446,
76,465,
77,487,
78,486,
79,498,
80,477,
81,456,
82,458,
83,474,
84,454,
85,448,
86,496,
87,454,
88,458,
89,456,
90,465,
91,450,
92,511,
93,481,
94,476,
95,470,
96,467,
97,456,
98,465,
99,458,
100,475,
101,472,
102,496,
103,465,
104,469,
105,486,
106,464,
107,459,
108,450,
109,450,
110,467,
111,469,
112,465,
113,506,
114,495,
115,479,
116,450,
117,452,
118,488,
119,466,
120,500,
121,495,
122,486,
123,484,
124,485,
125,450,
126,464,
127,465,
128,471,
129,485,
130,484,
131,493,
132,492,
133,480,
134,486,
135,452,
136,446,
137,452,
138,452,
139,496,
140,491,
141,483,
142,471,
143,472,
144,448,
145,480,
146,448,
147,458,
148,470,
149,470,
150,480,
151,472,
152,466,
153,460,
154,486,
155,502,
156,480,
157,476,
158,470,
159,472,
160,488,
161,493,
162,494,
163,466,
164,484,
165,487,
166,476,
167,446,
168,464,
169,469,
170,480,
171,470,
172,486,
173,470,
174,479,
175,455,
176,485,
177,485,
178,472,
179,490,
180,502,
181,498,
182,478,
183,481,
184,497,
185,474,
186,483,
187,475,
188,454,
189,454,
190,456,
191,450,
192,454,
193,488,
194,494,
195,483,
196,478,
197,470,
198,493,
199,471,
200,474,
201,486,
202,507,
203,474,
204,450,
205,493,
206,464,
207,494,
208,467,
209,446,
210,470,
211,448,
212,488,
213,471,
214,500,
215,446,
216,488,
217,475,
218,458,
219,486,
220,472,
221,467,
222,446,
223,467,
224,483,
225,458,
226,470,
227,450,
228,470,
229,472,
230,454,
231,502,
232,450,
233,464,
234,470,
235,474,
236,454,
237,460,
238,486,
239,493,
240,472,
241,491,
242,464,
243,480,
244,465,
245,499,
246,474,
247,458,
248,491,
249,458,
250,454,
251,458,
252,481,
253,474,
254,464,
255,492,
256,502,
257,465,
258,452,
259,470,
260,481,
261,462,
262,472,
263,464,
264,450,
265,495,
266,462,
267,474,
268,494,
269,472,
270,486,
271,472,
272,458,
273,458,
274,483,
275,483,
276,450,
277,471,
278,462,
279,474,
280,474,
281,488,
282,472,
283,471,
